DonorPostalCode,DonorAge,GenderIdentity,IsAlumnusFlag,IsParentFlag,HasInvolvementFlag,WealthRating,PreferredAddressType,HasEmailFlag,ConsecutiveDonorYears,LastFiscalYearDonation,Donation2FiscalYearsAgo,Donation3FiscalYearsAgo,Donation4FiscalYearsAgo,Donation5FiscalYearsAgo,CurrentFiscalYearDonation,CumulativeDonationAmount,DonorIndicatorFlag.
765,29,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
77075,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,120,1
39747,42,Male,0,0,0,Unknown,BUSN,0,1,0,0,0,0,0,0,0,0
36922,34,Male,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,335,1
31623,42,Female,0,0,0,"$50,000-$99,999",HOME,0,2,0,0,25,0,0,0,25,1
42050,39,Female,1,0,1,Unknown,HOME,1,1,0,0,0,250,0,0,250,1
30641,42,Female,0,0,0,Unknown,HOME,0,1,0,0,10,0,0,2750,2760,1
20417,42,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
23822,34,Female,0,0,0,Unknown,HOME,0,0,5,0,0,0,0,0,505,1
88514,32,Male,1,0,1,Unknown,HOME,1,1,0,0,10,70,0,0,80,1
45324,42,Male,0,0,1,Unknown,HOME,0,1,0,250,0,0,0,1,251,1
90265,38,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
31742,66,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,105,1
32534,29,Male,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,3,1
61242,42,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,10,1
56546,52,Female,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
57702,42,Unknown,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,60,1
70560,42,Male,0,0,1,Unknown,HOME,0,2,0,0,0,50,0,0,50,1
90265,42,Male,0,0,0,Unknown,HOME,0,1,0,0,120,0,0,0,120,1
90265,42,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
14845,43,Female,1,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,1200,1
90265,46,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,15,1
44841,42,Male,1,1,1,"$50,000-$99,999",HOME,1,0,0,0,0,0,0,0,70,1
75957,42,Male,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,2440,1
54840,80,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
Unknown,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,450,1
27144,42,Female,0,0,0,"$1-$24,999",HOME,0,0,0,0,0,0,0,0,0,0
87061,42,Male,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
39193,42,Female,0,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
12430,57,Female,1,0,1,Unknown,BUSN,1,0,0,0,0,0,0,0,120,1
57702,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,105,1
30248,37,Female,1,0,1,Unknown,HOME,0,2,0,0,0,0,0,0,120,1
36206,70,Male,0,0,0,Unknown,HOME,0,0,0,0,0,110,0,0,110,1
49115,42,Female,0,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0
23235,42,Male,0,0,0,Unknown,HOME,0,1,0,25,0,0,0,0,100,1
73119,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,250,1
50023,42,Male,0,0,0,Unknown,HOME,0,7,0,0,0,0,0,0,0,0
73071,94,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,95,95,1
59047,12,Male,0,0,0,"$250,000-$499,999",HOME,0,0,0,0,0,0,0,5,5,1
Unknown,42,Female,0,0,0,Unknown,CAMP,1,0,0,0,0,0,0,0,105,1
97883,42,Male,0,0,0,Unknown,Unknown,1,0,0,0,0,0,0,0,10,1
64755,38,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,500,500,1
80454,42,Female,0,0,0,Unknown,BUSN,0,1,0,0,0,0,0,0,12,1
58201,33,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
30019,42,Female,0,1,0,Unknown,Unknown,0,0,0,0,0,0,0,0,150,1
97846,42,Male,0,0,0,Unknown,Unknown,1,1,0,0,0,0,0,0,136,1
84531,37,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
83716,89,Female,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,1,300,1
54976,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
10581,42,Female,0,0,0,Unknown,HOME,0,12,0,0,0,0,0,0,2050,1
25936,42,Male,0,0,0,Unknown,Unknown,0,1,0,0,0,0,0,0,200,1
60546,42,Male,1,0,1,Unknown,HOME,1,0,0,100,100,0,0,70,270,1
83101,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
6359,32,Female,1,0,1,Unknown,HOME,1,0,0,200,120,0,0,0,17971,1
92173,42,Male,0,0,1,Unknown,HOME,0,6,120,0,0,0,0,0,404,1
33898,26,Female,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,35,1
13425,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,50,1
28509,42,Female,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,120,1
90265,42,Female,1,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,1195,1
714,60,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,65,1
10538,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,100,1
28098,42,Male,0,1,1,Unknown,HOME,1,0,0,0,0,0,0,0,50,1
43556,42,Male,0,0,0,Unknown,Unknown,0,0,1500,0,500,0,0,0,2000,1
64077,42,Male,0,0,0,Unknown,Unknown,0,3,0,0,0,0,0,0,35,1
50308,42,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
97376,32,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
43752,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,150,150,1
19348,30,Male,1,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,5300,1
74471,31,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,2,1
Unknown,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
90265,87,Female,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
90265,42,Female,0,0,0,Unknown,HOME,0,8,0,0,0,0,300,0,554,1
52803,42,Uknown,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,450,1
90265,42,Male,0,1,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
7762,39,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
29322,42,Male,0,0,0,Unknown,HOME,0,1,0,0,100,0,0,0,175,1
90265,42,Male,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
66946,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,65,1
92866,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,15,1
Unknown,42,Male,0,0,1,Unknown,HOME,0,8,0,0,0,0,130,0,3100,1
97841,65,Male,0,0,1,Unknown,HOME,0,5,0,5,0,63,0,0,68,1
56458,31,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,120,1
Unknown,42,Female,0,0,1,Unknown,HOME,0,1,0,0,0,0,36,0,100,1
29153,40,Male,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0
2894,42,Male,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,1,1
33433,52,Male,1,0,0,Unknown,HOME,0,5,0,0,0,0,25,0,25,1
Unknown,42,Male,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,1555,1
87022,29,Female,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0
58733,50,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
80454,42,Male,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
81131,42,Male,1,0,0,Unknown,HOME,1,5,1,0,0,0,150,0,151,1
51647,51,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
13796,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,40,1
Unknown,42,Female,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
90265,54,Male,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0
53810,20,Female,0,0,1,Unknown,HOME,1,20,0,52,0,0,0,0,565,1
90265,42,Female,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
8252,61,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
80642,46,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,5500,1
90265,42,Male,0,0,0,Unknown,HOME,0,8,0,0,0,0,0,0,295,1
76508,43,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,310,1
90265,3,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
90265,42,Male,0,0,1,Unknown,Unknown,1,0,0,0,0,100,0,0,100,1
74860,42,Male,0,0,0,Unknown,HOME,0,7,0,0,0,0,50,0,50,1
27233,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
96157,42,Male,1,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,664,1
90265,50,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
85392,89,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,750,1
90265,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
22639,42,Male,0,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
75957,66,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,2,1
74637,42,Male,0,0,0,Unknown,HOME,0,9,480,0,0,0,0,100,2025,1
90265,21,Female,0,0,0,"$250,000-$499,999",HOME,1,0,0,0,0,0,0,0,15,1
19374,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
Unknown,42,Male,0,0,0,Unknown,Unknown,0,1,0,1,0,0,0,0,10,1
83525,32,Male,0,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
99638,42,Unknown,0,1,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
55395,49,Male,1,0,0,"$250,000-$499,999",HOME,1,0,0,0,0,0,0,0,0,0
90265,42,Female,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,40,1
32754,78,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,125,1
Unknown,34,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,600,1
90265,35,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
75951,42,Female,0,0,0,Unknown,HOME,0,1,1,0,0,0,0,0,120,1
Unknown,42,Female,1,0,1,Unknown,HOME,1,4,0,0,0,0,500,0,500,1
63935,32,Male,1,0,1,"$1-$24,999",HOME,1,0,0,0,0,1,1,0,2,1
29010,42,Female,0,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
43420,42,Male,0,0,0,Unknown,HOME,0,2,0,0,0,0,0,0,450,1
Unknown,42,Female,0,0,0,Unknown,HOME,0,3,0,0,0,0,0,0,0,0
32465,20,Male,1,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,1365,1
22542,42,Unknown,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,125,1
98575,42,Male,1,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
31323,42,Male,1,1,1,Unknown,HOME,1,5,0,0,36,0,0,0,36,1
67852,45,Female,0,0,0,Unknown,HOME,0,0,25,0,0,0,0,0,25,1
43536,42,Male,1,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,120,1
90265,42,Female,0,0,0,Unknown,HOME,0,3,0,330,171,0,0,0,501,1
90265,73,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
14758,42,Female,1,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,7,1
5846,42,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
90265,42,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,120,1
75392,7,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
62203,64,Female,1,0,0,Unknown,Unknown,0,2,0,0,0,0,0,0,20,1
90265,57,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,65,1
60557,35,Female,1,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,1200,1
47246,42,Male,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,0,0
84117,25,Female,1,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,50,1
72858,28,Male,1,0,1,Unknown,HOME,1,3,0,0,0,0,0,0,0,0
90265,34,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,20,0,24,1
20624,51,Male,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,180,1
44322,23,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
13149,42,Male,0,0,0,Unknown,HOME,0,1,0,30,0,0,0,0,30,1
16153,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
86322,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
12930,42,Male,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,1078,1
90265,42,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
11801,61,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
55357,59,Female,1,0,1,Unknown,HOME,1,18,0,0,1,0,0,0,2190,1
46895,42,Male,0,0,0,Unknown,HOME,0,2,0,0,0,0,0,0,0,0
41061,42,Female,0,0,0,Unknown,Unknown,0,1,0,0,0,0,0,50,50,1
8844,36,Female,1,0,1,Unknown,BUSN,1,1,25,0,0,0,0,0,25,1
29176,48,Male,1,0,1,Unknown,HOME,0,3,0,0,0,0,40,0,40,1
Unknown,42,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,25,1
90265,64,Female,0,0,0,Unknown,HOME,0,0,0,49,0,0,0,0,670,1
90265,66,Male,1,1,0,Unknown,HOME,1,5,0,0,0,0,0,0,0,0
90265,42,Male,0,0,1,Unknown,Unknown,0,0,0,1,0,0,0,0,25,1
38923,42,Female,0,1,1,Unknown,HOME,1,11,0,0,25,0,0,50,3239,1
Unknown,42,Male,0,0,1,Unknown,BUSN,1,4,0,60,0,0,90,0,150,1
25076,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,35,1
36614,53,Male,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
80155,42,Female,0,0,0,Unknown,HOME,0,1,0,2,0,0,0,0,2,1
19398,42,Female,0,0,0,Unknown,HOME,0,1,0,0,1,0,0,0,1,1
Unknown,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,50,0,0,704,1
55416,63,Female,1,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
13837,42,Male,1,0,0,Unknown,HOME,0,0,75,0,0,0,0,0,144,1
72333,42,Female,0,0,0,Unknown,HOME,0,2,0,0,0,0,0,0,0,0
68768,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,60,1
90265,85,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,50,1
78521,42,Unknown,0,0,0,"$250,000-$499,999",HOME,0,1,0,0,0,0,0,0,0,0
