DonorPostalCode,DonorAge,GenderIdentity,IsAlumnusFlag,IsParentFlag,HasInvolvementFlag,WealthRating,PreferredAddressType,HasEmailFlag,ConsecutiveDonorYears,LastFiscalYearDonation,Donation2FiscalYearsAgo,Donation3FiscalYearsAgo,Donation4FiscalYearsAgo,Donation5FiscalYearsAgo,CurrentFiscalYearDonation,CumulativeDonationAmount,DonorIndicatorFlag.,Anomaly_Label,Anomaly_Score
90265,42,Female,0,0,0,Unknown,HOME,0,8,0,0,0,0,300,0,554,1,1,143.45033983926285
29322,42,Male,0,0,0,Unknown,HOME,0,1,0,0,100,0,0,0,175,1,1,25.0
Unknown,42,Male,0,0,1,Unknown,HOME,0,8,0,0,0,0,130,0,3100,1,1,110.51696702316798
53810,20,Female,0,0,1,Unknown,HOME,1,20,0,52,0,0,0,0,565,1,1,55.991070716677676
80642,46,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,5500,1,1,175.3909917869216
85392,89,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,750,1,1,36.796738985948195
74637,42,Male,0,0,0,Unknown,HOME,0,9,480,0,0,0,0,100,2025,1,1,397.10074288522804
90265,42,Female,0,0,0,Unknown,HOME,0,3,0,330,171,0,0,0,501,1,1,52.96225070746144
55357,59,Female,1,0,1,Unknown,HOME,1,18,0,0,1,0,0,0,2190,1,1,25.317977802344327
90265,64,Female,0,0,0,Unknown,HOME,0,0,0,49,0,0,0,0,670,1,1,35.04283093587046
38923,42,Female,0,1,1,Unknown,HOME,1,11,0,0,25,0,0,50,3239,1,1,69.46221994724903
Unknown,42,Male,0,0,1,Unknown,BUSN,1,4,0,60,0,0,90,0,150,1,1,34.336569426778794
Unknown,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,50,0,0,704,1,1,37.107950630558946
13837,42,Male,1,0,0,Unknown,HOME,0,0,75,0,0,0,0,0,144,1,1,25.748786379167466
90265,42,Male,0,0,0,"$1-$24,999",HOME,0,15,0,0,0,0,0,0,8850,1,1,56.64803615307419
Unknown,52,Male,1,0,1,Unknown,HOME,1,4,0,0,300,500,0,0,800,1,1,71.43528539874394
Unknown,42,Male,0,0,0,Unknown,Unknown,0,1,0,251,1,50,0,0,870,1,1,169.56119839161317
90265,42,Male,0,0,0,Unknown,HOME,0,4,0,0,0,0,660,0,660,1,1,49.51767361255979
27237,42,Male,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,50,2000,1,1,50.0199960015992
37042,42,Female,0,0,1,Unknown,HOME,0,3,0,0,175,0,300,0,475,1,1,162.37918585828666
35053,62,Female,0,0,0,"$50,000-$99,999",HOME,0,0,40,0,0,0,0,50,90,1,1,42.42640687119285
66777,42,Female,0,0,1,Unknown,HOME,0,3,0,50,0,0,75,0,125,1,1,30.854497241083024
90265,42,Female,0,0,0,Unknown,HOME,0,1,0,150,0,0,0,0,245,1,1,55.94640292279746
46604,42,Male,1,0,1,"$100,000-$249,999",HOME,1,9,20,0,0,0,0,0,20690,1,1,877.9720952285443
54976,42,Male,0,0,1,Unknown,Unknown,0,3,0,0,0,0,96,25,121,1,1,28.142494558940577
6246,42,Male,0,0,0,"$100,000-$249,999",HOME,0,15,0,25000,10750,12890,27362,0,194297,1,1,54658.99528897325
57370,42,Male,1,0,0,"$50,000-$99,999",Unknown,1,0,50,0,0,100,0,0,150,1,1,51.05878964487897
99513,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,3875,1,1,36.68787265568828
83348,24,Male,0,0,0,Unknown,HOME,1,0,0,600,2500,0,0,0,3100,1,1,787.6077704035175
93246,36,Male,1,0,1,Unknown,HOME,1,2,120,0,0,0,0,0,180,1,1,31.12876483254676
73736,39,Female,1,0,1,Unknown,HOME,1,0,3000,5500,0,0,0,0,8500,1,1,3997.500719199435
75565,42,Female,1,0,0,Unknown,HOME,0,0,1,0,0,95,0,240,336,1,1,115.65898149300814
90265,42,Female,0,0,0,Unknown,HOME,0,2,3000,10000,1000,0,0,0,14000,1,1,5638.840838328389
33568,53,Female,0,0,0,"$1-$24,999",HOME,0,0,0,200,160,0,0,0,360,1,1,31.160872901765767
90265,42,Female,0,0,1,Unknown,BUSN,0,8,120,0,0,0,0,0,3388,1,1,124.39453364195711
18085,7,Male,0,0,0,Unknown,HOME,0,0,0,125,200,0,0,3000,3325,1,1,361.42772444847117
Unknown,42,Male,0,1,0,"$100,000-$249,999",HOME,0,0,90,0,0,0,0,0,1850,1,1,90.82951062292474
38132,42,Female,0,0,0,Unknown,HOME,0,1,0,0,1000,100,0,0,1100,1,1,123.04064369142418
71404,42,Male,0,0,0,"$100,000-$249,999",HOME,0,1,0,165,0,0,200,0,365,1,1,144.58215657542254
5852,42,Male,0,0,1,"$25,000-$49,999",OTR,0,18,0,0,0,0,144,0,1804,1,1,103.77861051295686
6762,42,Male,0,0,0,"$50,000-$99,999",HOME,0,0,25,180,310,880,0,0,1395,1,1,327.1864911636787
23954,70,Male,0,0,1,"$100,000-$249,999",HOME,1,8,0,0,0,0,500,0,4135,1,1,422.61921395033613
95137,26,Male,0,0,1,Unknown,HOME,0,0,0,225,0,0,0,0,225,1,1,26.60826939130014
30206,35,Female,1,0,1,Unknown,BUSN,1,0,0,0,0,0,105,0,975,1,1,55.362442142665635
Unknown,42,Female,1,0,0,Unknown,HOME,0,0,0,75,200,300,0,0,575,1,1,94.19660291114536
61766,92,Male,1,0,1,"$100,000-$249,999",HOME,1,7,0,0,1,0,300,0,301,1,1,50.20956084253277
36445,42,Female,0,0,1,Unknown,Unknown,0,5,0,45,1000,208,0,0,1253,1,1,112.76967677527502
16637,80,Male,1,0,1,Unknown,HOME,1,18,0,0,0,0,0,0,647,1,1,24.372115213907882
21857,31,Male,0,0,0,Unknown,HOME,1,1,400,0,0,0,0,150,550,1,1,166.20168470866955
90265,59,Female,0,0,0,Unknown,HOME,1,0,50,0,0,0,0,0,14966,1,1,576.4269251171391
4406,42,Female,0,0,0,Unknown,HOME,0,5,0,0,40,0,274,0,314,1,1,49.48737212663449
23451,42,Male,1,0,0,Unknown,HOME,0,3,135,0,0,80,0,0,215,1,1,56.15158056546583
2807,68,Male,0,0,1,Unknown,HOME,1,0,0,200,244,350,0,0,794,1,1,129.7882891481354
90265,90,Male,0,0,1,Unknown,HOME,0,15,0,0,0,0,0,0,1140,1,1,49.416596402423345
43914,42,Female,0,0,0,Unknown,HOME,0,0,0,1000,5,750,0,0,1755,1,1,350.07427783257657
90265,42,Female,0,0,0,Unknown,BUSN,0,3,1626,0,0,0,0,0,34125,1,1,1695.3701660699353
1840,35,Male,1,0,1,Unknown,HOME,1,2,0,0,50,0,0,0,410,1,1,46.184412955021955
20624,42,Female,0,0,0,"$100,000-$249,999",HOME,0,2,0,0,50,0,0,0,150,1,1,23.916521486202797
90265,42,Male,1,0,0,"$25,000-$49,999",HOME,1,2,0,100,300,0,0,0,400,1,1,62.83311228962003
12533,42,Female,0,1,0,Unknown,HOME,1,0,0,10,0,0,0,0,4059,1,1,59.85816569190874
53718,42,Male,0,0,0,Unknown,HOME,0,3,0,0,0,5000,3000,0,30000,1,1,5831.441159782031
50840,101,Female,1,0,1,Unknown,HOME,1,10,0,0,50,0,120,0,170,1,1,64.34283176858165
60185,42,Male,0,0,0,Unknown,HOME,0,1,0,72,0,305,0,0,377,1,1,99.61927524329818
39479,54,Female,0,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,37878,1,1,2122.094719846407
63136,42,Female,0,0,0,Unknown,HOME,0,24,0,0,0,0,0,0,13014,1,1,164.19500601419034
95524,42,Male,0,0,1,"$25,000-$49,999",HOME,1,0,0,1500,0,349,0,0,1849,1,1,438.5943456087869
72352,42,Female,0,0,0,Unknown,HOME,0,1,0,2500,0,2000,15500,0,263584,1,1,83897.02777214459
49321,42,Male,0,0,0,Unknown,HOME,0,9,50,0,0,0,144,0,11401,1,1,161.94134740701648
56369,42,Male,1,0,0,Unknown,HOME,0,2,0,0,65,0,0,0,289,1,1,30.44667469527666
75164,42,Male,0,1,0,Unknown,HOME,0,0,0,105,240,0,0,0,345,1,1,46.486557196677836
36608,48,Female,0,0,0,Unknown,HOME,0,0,0,300,260,0,0,100,660,1,1,168.6801707374047
79029,42,Female,0,0,1,Unknown,Unknown,1,1,80,50,0,0,0,0,160,1,1,52.773099207835045
40061,42,Male,0,0,1,Unknown,HOME,0,3,0,0,0,0,4000,0,4000,1,1,1414.2178050074183
73403,42,Male,0,0,0,Unknown,HOME,0,1,0,1750,3480,0,0,0,5230,1,1,1503.2631173550424
7723,42,Male,0,0,0,"$50,000-$99,999",HOME,0,1,0,0,100,0,0,0,4000,1,1,103.70149468546728
Unknown,19,Male,0,0,0,"$50,000-$99,999",HOME,1,0,0,1000,1000,130,0,0,2130,1,1,571.0323983803371
43752,42,Male,0,0,0,Unknown,Unknown,0,1,0,0,100,0,0,0,2529,1,1,100.20479030465559
90265,56,Male,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,125,374,1,1,57.956880523368405
49961,38,Female,0,0,0,Unknown,HOME,1,0,75,0,0,0,0,0,120,1,1,24.372115213907882
31561,23,Male,1,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,1700,1,1,22.181073012818835
Unknown,42,Male,1,0,0,Unknown,Unknown,0,2,500,0,520,200,0,0,1220,1,1,275.321630098327
77464,42,Male,0,1,0,Unknown,HOME,0,0,500,0,0,420,0,0,920,1,1,490.10407058093284
77289,70,Female,1,0,1,Unknown,HOME,1,16,0,0,0,0,0,0,1354,1,1,21.42428528562855
821,42,Female,0,0,0,Unknown,HOME,1,7,0,0,0,0,173,0,200,1,1,21.61018278497431
93647,42,Male,0,0,1,Unknown,HOME,1,8,0,0,0,0,25,0,695,1,1,26.019223662515376
7073,42,Female,0,0,0,Unknown,HOME,0,6,0,0,0,0,96,0,250,1,1,35.608987629529715
70657,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,901,0,901,1,1,140.02142693173784
99019,42,Male,0,0,0,Unknown,HOME,1,16,1,0,0,0,0,0,78466,1,1,7849.779423652616
88052,42,Male,0,0,0,Unknown,HOME,1,8,0,0,0,0,0,0,10410,1,1,115.04347004502254
68948,42,Male,0,0,0,Unknown,HOME,0,6,0,0,0,461,0,0,461,1,1,55.731499172371095
14813,42,Male,1,0,0,Unknown,Unknown,0,0,500,0,500,400,0,0,1400,1,1,220.13632140108092
90265,44,Female,1,0,1,"$250,000-$499,999",HOME,1,9,0,0,0,0,0,0,12850,1,1,164.7057983193063
46794,42,Uknown,0,0,0,Unknown,HOME,0,1,0,25000,0,0,0,0,194297,1,1,44258.60154817366
97480,42,Male,1,0,0,Unknown,HOME,0,0,90,0,0,0,0,0,1370,1,1,90.55937278934744
84111,42,Female,0,0,1,Unknown,HOME,0,17,0,1,0,15,40,0,19760,1,1,931.231442768123
90265,23,Female,0,0,0,Unknown,HOME,0,0,0,0,0,50,0,0,250,1,1,31.400636936215164
90265,42,Male,0,0,1,"$1-$24,999",HOME,1,1,0,1000,0,0,0,0,1000,1,1,141.43196244130957
6057,42,Male,1,0,0,Unknown,HOME,0,2,0,0,0,40,0,0,2004,1,1,40.22437072223753
6375,42,Male,0,0,0,Unknown,HOME,0,9,0,0,0,0,0,0,2715,1,1,26.589471600616662
90265,42,Female,0,0,0,Unknown,HOME,0,8,0,0,0,0,100,0,400,1,1,50.039984012787215
90265,68,Female,0,1,1,Unknown,HOME,1,8,0,0,0,0,500,0,1690,1,1,252.6004750589357
6023,42,Uknown,0,0,0,Unknown,HOME,0,1,0,0,180,0,0,0,505,1,1,106.90182411914213
18059,68,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,1250,1,1,26.019223662515376
18037,36,Female,0,0,0,Unknown,HOME,0,0,40,0,0,0,0,0,901,1,1,38.22302970723278
61250,42,Female,0,0,1,"$1-$24,999",HOME,0,8,0,0,0,0,0,0,3995,1,1,45.077710678338576
78063,42,Male,0,0,1,Unknown,HOME,0,16,0,0,0,0,0,0,2075,1,1,25.019992006393608
90509,42,Female,1,0,1,Unknown,HOME,1,0,344,0,0,0,0,0,344,1,1,26.94438717061496
90265,42,Female,0,0,0,Unknown,HOME,0,0,150,0,0,0,0,1075,1225,1,1,215.06045661627337
90265,42,Male,0,0,1,Unknown,HOME,0,10,135,0,0,0,0,0,5879,1,1,138.8488386699723
84647,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,75,0,0,265,1,1,34.813790371058424
11930,42,Female,0,0,0,"$250,000-$499,999",HOME,0,1,150,0,0,0,0,0,500,1,1,52.05766033928148
75339,42,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,320,0,0,320,1,1,27.640549922170507
22835,42,Male,0,0,0,Unknown,Unknown,0,0,50000,1100,3500,12505,2350,0,69455,1,1,48570.0993513499
53807,27,Female,1,0,1,Unknown,HOME,1,3,0,0,0,0,25,100,125,1,1,29.79932885150268
90265,42,Male,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,10000,1,1,194.4530791733574
44396,73,Male,1,0,1,Unknown,HOME,0,6,0,0,0,0,500,0,500,1,1,30.166206257996713
28228,42,Female,0,0,0,Unknown,HOME,0,2,0,0,1500,189,0,0,1689,1,1,618.538600250623
84656,45,Female,1,0,1,Unknown,HOME,1,4,0,0,0,0,100,0,2269,1,1,87.80091115700337
92241,42,Female,0,0,0,Unknown,HOME,0,5,0,25,0,0,0,0,1200,1,1,25.337718918639855
25510,78,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,829,1,1,24.515301344262525
10108,42,Uknown,0,0,1,Unknown,HOME,0,11,0,0,0,0,100,0,580,1,1,36.09709129556009
95404,42,Unknown,0,1,0,Unknown,HOME,0,1,0,0,0,180,0,50,230,1,1,59.91660871578097
19373,42,Male,0,0,0,"$100,000-$249,999",HOME,1,3,0,0,0,125,25,0,150,1,1,30.886890422961002
90265,42,Female,0,1,0,Unknown,HOME,0,0,108,0,0,0,0,0,225,1,1,27.748873851023216
90231,89,Female,0,0,0,Unknown,HOME,0,8,500000,1932960,3000,0,0,4500,2440460,1,1,2241448.2009109645
90265,42,Male,0,1,0,Unknown,HOME,1,0,500,0,50,20,0,0,570,1,1,55.776339069537364
77659,42,Female,1,0,0,Unknown,HOME,1,1,0,0,0,234,0,0,234,1,1,22.67156809750927
90265,42,Male,0,0,0,Unknown,HOME,0,13,0,0,0,0,290,0,2553,1,1,198.85924670479872
13640,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,43000,1,1,3000.0106666477036
20571,64,Male,0,0,0,"$1,000,000-$2,499,999",HOME,1,0,0,0,10000,7500,0,0,26385,1,1,11525.13041140967
36444,42,Male,0,1,0,Unknown,HOME,1,0,0,1000,0,1040,0,0,2040,1,1,160.19051157918187
78050,42,Female,1,0,1,Unknown,HOME,0,1,0,0,250,500,0,0,750,1,1,71.48426400264607
49590,42,Female,0,0,1,Unknown,HOME,0,25,0,0,0,0,0,0,3819,1,1,37.5632799419859
60442,48,Female,0,0,0,Unknown,HOME,0,0,360,0,0,40,0,0,400,1,1,56.894639466297704
90265,42,Male,0,0,1,Unknown,HOME,0,11,0,0,0,0,100,0,12309,1,1,121.93850909372314
88521,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,1667,1667,1,1,120.22894826122368
97121,59,Female,0,0,0,Unknown,HOME,0,6,0,0,0,0,0,1510,3674,1,1,1492.2714230326867
90265,71,Female,1,0,1,Unknown,HOME,1,8,0,0,0,6,25,1,6080,1,1,126.11899143269423
32702,42,Male,0,0,0,Unknown,HOME,1,8,0,45,0,0,0,0,7522,1,1,50.547007824400445
26520,42,Male,0,0,0,Unknown,HOME,0,0,0,250,240,1585,0,0,2075,1,1,647.2650152758142
57474,42,Female,0,0,0,Unknown,HOME,0,2,0,100,153,0,30,0,283,1,1,42.190046219457976
90265,42,Male,0,0,0,Unknown,Unknown,0,0,0,150,200,0,0,0,350,1,1,39.68626966596886
53132,42,Male,0,0,1,Unknown,HOME,0,7,100,0,1,25,0,0,165,1,1,32.43454948045371
90265,46,Female,0,0,0,Unknown,HOME,0,0,0,800,0,500,0,0,1300,1,1,282.8745304901097
95459,42,Male,0,0,0,Unknown,HOME,0,1,0,0,5,50,0,0,9591,1,1,219.8226557932553
90265,18,Female,0,0,0,Unknown,Unknown,0,0,25,0,0,0,0,0,60,1,1,23.53720459187964
54559,42,Male,0,0,0,"$250,000-$499,999",HOME,0,1,0,160,200,0,0,0,360,1,1,33.090784215548595
14893,45,Female,1,0,1,"$100,000-$249,999",HOME,1,1,0,0,0,0,0,50,253,1,1,28.231188426986208
90265,42,Male,1,0,0,Unknown,Unknown,1,12,5,40,0,0,50,0,3650,1,1,78.78451624526231
70073,42,Female,1,0,1,Unknown,HOME,1,3,0,0,0,0,370,110,480,1,1,135.03332921912278
54662,58,Male,1,0,0,Unknown,HOME,0,0,0,180,150,10,0,0,340,1,1,32.77193921634788
56563,42,Male,0,0,0,Unknown,HOME,0,4,0,0,25,0,220,0,245,1,1,30.854497241083024
2344,42,Male,0,0,1,Unknown,HOME,0,13,0,0,0,51,15,0,1891,1,1,55.072679252057455
61523,42,Male,1,0,1,Unknown,HOME,1,4,0,0,0,0,652,0,652,1,1,38.66522985836241
92637,42,Female,0,0,1,Unknown,HOME,0,0,100,0,0,0,0,0,600,1,1,51.088159097779204
90265,42,Female,0,0,0,Unknown,Unknown,0,0,100,0,0,0,90,0,190,1,1,57.07889277132134
80102,19,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,876,1,1,21.470910553583888
67526,73,Male,1,0,1,Unknown,HOME,1,5,0,0,0,150,0,0,150,1,1,23.643180835073778
19506,42,Male,1,0,0,Unknown,HOME,0,18,1,0,60,0,250,0,1175,1,1,108.48041297856494
19350,41,Male,1,0,1,Unknown,Unknown,1,0,0,0,0,264,20,0,284,1,1,31.160872901765767
71345,32,Female,0,0,0,Unknown,HOME,0,0,50,0,0,0,0,50,100,1,1,38.301436004411116
41817,42,Female,0,0,1,Unknown,BUSN,0,4,250,100,195,1,0,0,546,1,1,203.56325798139505
50014,42,Male,1,0,1,Unknown,HOME,0,1,0,41,50,0,0,500,591,1,1,91.45490692138941
60035,31,Male,1,0,1,Unknown,HOME,1,1,100,0,0,0,0,0,150,1,1,28.0178514522438
36604,42,Female,1,0,1,Unknown,HOME,0,3,0,0,0,0,100,0,2189,1,1,80.06872048434394
43036,42,Female,0,0,0,Unknown,HOME,0,1,0,0,1500,75,100,0,1675,1,1,620.5239721396749
85200,34,Female,1,0,1,Unknown,HOME,1,1,0,0,550,250,0,0,800,1,1,149.22131215077826
90265,90,Male,0,0,1,Unknown,HOME,0,15,0,0,0,0,100,0,125805,1,1,19974.312954392197
12839,42,Female,1,0,0,Unknown,HOME,0,9,0,0,0,0,25,0,1210,1,1,27.09243436828813
48218,42,Female,0,0,1,Unknown,HOME,0,4,20,0,0,0,60,0,80,1,1,24.515301344262525
95192,42,Female,1,0,1,"$1-$24,999",BUSN,0,0,219,0,0,0,0,0,1095,1,1,123.95160345876934
26294,96,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,375,1,1,25.0
38343,42,Male,0,0,0,Unknown,HOME,0,5,1368,0,1719,240,0,0,3326,1,1,609.0664988324346
44192,42,Female,0,0,0,Unknown,HOME,0,1,0,20,35,0,0,0,150,1,1,23.0
90265,60,Female,1,0,1,"$50,000-$99,999",HOME,1,10,0,0,0,0,0,0,12309,1,1,101.62184804460112
95316,42,Female,0,0,0,Unknown,HOME,0,2,0,1492,800,0,25,0,2317,1,1,629.1955181022828
79008,37,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,11961,1,1,321.82914721945247
87313,42,Female,0,0,0,Unknown,HOME,0,8,1,0,0,0,0,50,1490,1,1,51.0098029794274
18044,42,Male,1,0,0,Unknown,HOME,1,0,0,0,0,150,0,0,525,1,1,79.07591289387686
28615,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,16550,1,1,370.11079422248685
5449,42,Female,0,0,1,Unknown,HOME,0,10,0,0,0,0,120,0,215,1,1,26.5329983228432
9214,64,Male,1,0,1,Unknown,HOME,1,2,0,0,0,0,0,0,5000,1,1,22.090722034374522
48146,94,Male,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,700,1,1,33.015148038438355
76439,77,Male,1,0,1,Unknown,HOME,0,6,0,1,0,0,20,0,354,1,1,22.825424421026653
99785,73,Female,0,0,0,Unknown,HOME,0,0,240,0,0,0,0,0,240,1,1,24.0
68030,42,Male,0,0,0,Unknown,HOME,0,2,0,0,0,0,0,175,250,1,1,42.638011210655684
33780,84,Female,0,0,0,Unknown,HOME,0,0,0,0,0,200,0,110,310,1,1,112.76080879454528
1473,42,Male,0,0,1,Unknown,HOME,0,6,0,50,0,0,50,0,100,1,1,38.561638969317684
46546,50,Female,1,0,1,Unknown,HOME,1,4,3,0,25,0,0,0,1230,1,1,28.460498941515414
88260,58,Female,1,0,1,Unknown,HOME,1,6,50,0,0,0,0,0,624,1,1,38.535697735995385
4283,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,1331,1331,1,1,239.00418406379416
16233,42,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,90,0,240,330,1,1,110.6752004741803
97425,42,Female,0,0,0,Unknown,BUSN,0,1,0,204,195,0,0,0,399,1,1,34.058772731852805
96262,42,Female,1,0,1,Unknown,HOME,0,1,715,0,500,250,0,0,1465,1,1,291.2387336876742
90265,58,Female,1,0,1,Unknown,HOME,1,8,0,0,40,0,144,0,635,1,1,82.63171304045439
90265,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,2775,1,1,22.045407685048602
17801,42,Uknown,0,0,0,Unknown,HOME,0,2,0,50,300,0,0,0,350,1,1,71.61005515987263
1013,70,Male,0,0,0,Unknown,HOME,0,0,400,0,0,0,0,0,400,1,1,50.47771785649585
90265,34,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,2756,1,1,23.430749027719962
90265,29,Male,1,0,1,Unknown,HOME,1,1,0,75,120,0,70,0,265,1,1,81.62720134857007
47124,56,Female,1,0,0,Unknown,HOME,0,0,0,1000,0,1508,0,0,2508,1,1,471.37776782533984
66428,42,Male,0,0,0,Unknown,HOME,0,10,0,0,0,10,0,200,243,1,1,32.64965543462902
90265,42,Female,1,0,1,Unknown,HOME,1,1,0,0,250,108,0,0,358,1,1,62.56196927846821
90265,42,Female,1,0,0,Unknown,BUSN,1,10,0,0,0,0,117,0,704,1,1,59.48949487094339
59749,42,Male,0,0,1,Unknown,HOME,0,0,0,50,0,0,0,30,515,1,1,39.382737335030434
47175,99,Female,1,0,1,Unknown,HOME,0,6,500000,0,500000,0,100,2000000,12221854,1,1,10180423.969803125
12856,20,Male,0,0,0,Unknown,HOME,0,0,0,125,150,0,0,0,275,1,1,38.05259518088089
61131,42,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,120,0,0,290,1,1,35.369478367654786
90265,42,Female,1,0,0,Unknown,HOME,1,0,0,1000,800,925,0,0,2725,1,1,454.7317890801126
90265,76,Female,0,0,0,Unknown,HOME,1,0,0,1500,0,30,0,0,1530,1,1,197.37527707390305
49971,42,Male,0,0,0,Unknown,HOME,1,4,0,0,0,30,150,0,180,1,1,37.44329045369811
54726,42,Female,0,0,1,Unknown,HOME,0,1,30,150,0,0,0,100,280,1,1,110.46266337545913
21916,42,Female,0,0,0,Unknown,BUSN,0,1,0,0,0,0,0,2000,2000,1,1,34.0147027033899
38230,62,Male,1,0,0,Unknown,HOME,0,0,0,0,0,25,0,0,1000,1,1,25.099800796022265
90265,42,Male,0,0,1,Unknown,HOME,0,10,0,0,85,0,0,0,1060,1,1,85.62709851443059
25169,42,Female,1,1,0,Unknown,HOME,0,5,1,0,10000,4518,0,0,14519,1,1,7674.0270393060255
56084,42,Male,0,0,0,Unknown,HOME,0,9,0,0,0,0,25,0,550,1,1,25.67099530598687
90848,42,Female,0,0,1,Unknown,HOME,0,4,0,0,0,0,170,0,200,1,1,22.427661492005804
40807,42,Female,1,0,1,Unknown,BUSN,0,2,0,0,0,0,0,150,288,1,1,44.66542286825459
90265,84,Male,1,0,0,Unknown,HOME,0,3,0,0,0,0,150,0,150,1,1,29.563490998188964
40951,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,40,0,0,600,1,1,30.886890422961002
12585,42,Female,0,0,0,Unknown,HOME,0,0,0,220,150,0,0,0,390,1,1,39.0
67055,42,Female,0,0,0,Unknown,HOME,0,2,0,0,50,0,0,30,80,1,1,30.54504869860253
56661,42,Female,0,0,0,Unknown,HOME,0,1,1630,0,500,130,0,0,545900,1,1,155124.05938796213
46017,42,Female,1,0,1,Unknown,HOME,1,13,0,0,0,0,144,100,5498,1,1,201.2858663692014
53221,68,Male,0,0,0,Unknown,HOME,1,4,40,0,0,0,25,350,485,1,1,111.36426715962351
22579,42,Male,0,0,0,Unknown,Unknown,0,1,25,0,35,0,0,0,60,1,1,27.386127875258307
23163,42,Male,0,0,0,Unknown,HOME,0,1,0,120,0,0,0,0,150,1,1,22.93468988235943
90265,42,Male,1,0,0,Unknown,Unknown,0,1,100,0,75,0,0,0,440,1,1,88.47033401089882
775,42,Female,1,0,0,"$1-$24,999",HOME,0,0,0,0,0,0,0,50,530,1,1,44.04543109109048
