DonorPostalCode,DonorAge,GenderIdentity,IsAlumnusFlag,IsParentFlag,HasInvolvementFlag,WealthRating,PreferredAddressType,HasEmailFlag,ConsecutiveDonorYears,LastFiscalYearDonation,Donation2FiscalYearsAgo,Donation3FiscalYearsAgo,Donation4FiscalYearsAgo,Donation5FiscalYearsAgo,CurrentFiscalYearDonation,CumulativeDonationAmount,DonorIndicatorFlag.,Anomaly_Label,Anomaly_Score
86335,42,Male,0,0,0,Unknown,HOME,0,2,0,0,0,0,0,0,0,0,0,0.0
39666,52,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,110,1,0,4.123105625617661
87730,42,Male,1,0,0,Unknown,HOME,0,4,0,0,0,0,0,0,70,1,0,2.23606797749979
90265,42,Male,1,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
32227,42,Female,0,1,0,Unknown,HOME,1,2,0,0,0,0,0,0,50,1,0,1.0
91361,42,Male,0,0,1,Unknown,HOME,0,1,0,0,25,0,0,0,25,1,0,1.0
44441,37,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0.0
Unknown,42,Female,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,25,1,0,0.0
58448,62,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,30,1,0,4.0
765,29,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
77075,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,120,1,0,0.0
39747,42,Male,0,0,0,Unknown,BUSN,0,1,0,0,0,0,0,0,0,0,0,0.0
36922,34,Male,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,335,1,0,6.557438524302
31623,42,Female,0,0,0,"$50,000-$99,999",HOME,0,2,0,0,25,0,0,0,25,1,0,1.0
42050,39,Female,1,0,1,Unknown,HOME,1,1,0,0,0,250,0,0,250,1,0,3.4641016151377544
30641,42,Female,0,0,0,Unknown,HOME,0,1,0,0,10,0,0,2750,2760,1,1,346.70304296328294
20417,42,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0.0
23822,34,Female,0,0,0,Unknown,HOME,0,0,5,0,0,0,0,0,505,1,0,7.416198487095663
88514,32,Male,1,0,1,Unknown,HOME,1,1,0,0,10,70,0,0,80,1,0,15.84297951775486
45324,42,Male,0,0,1,Unknown,HOME,0,1,0,250,0,0,0,1,251,1,0,2.0
90265,38,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0.0
31742,66,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,105,1,0,5.0
32534,29,Male,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,3,1,0,2.23606797749979
61242,42,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,10,1,0,0.0
56546,52,Female,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,1.0
57702,42,Unknown,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,60,1,0,0.0
70560,42,Male,0,0,1,Unknown,HOME,0,2,0,0,0,50,0,0,50,1,0,1.0
90265,42,Male,0,0,0,Unknown,HOME,0,1,0,0,120,0,0,0,120,1,0,0.0
90265,42,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
14845,43,Female,1,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,1200,1,0,2.0
90265,46,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,15,1,0,1.4142135623730951
44841,42,Male,1,1,1,"$50,000-$99,999",HOME,1,0,0,0,0,0,0,0,70,1,0,1.4142135623730951
75957,42,Male,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,2440,1,1,25.03996805109783
54840,80,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
Unknown,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,450,1,0,1.0
27144,42,Female,0,0,0,"$1-$24,999",HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
87061,42,Male,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
39193,42,Female,0,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
12430,57,Female,1,0,1,Unknown,BUSN,1,0,0,0,0,0,0,0,120,1,0,2.8284271247461903
57702,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,105,1,0,0.0
30248,37,Female,1,0,1,Unknown,HOME,0,2,0,0,0,0,0,0,120,1,0,2.23606797749979
36206,70,Male,0,0,0,Unknown,HOME,0,0,0,0,0,110,0,0,110,1,0,14.352700094407323
49115,42,Female,0,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0,0,0.0
23235,42,Male,0,0,0,Unknown,HOME,0,1,0,25,0,0,0,0,100,1,0,10.0
73119,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,250,1,0,0.0
50023,42,Male,0,0,0,Unknown,HOME,0,7,0,0,0,0,0,0,0,0,0,0.0
73071,94,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,95,95,1,0,18.411952639521967
59047,12,Male,0,0,0,"$250,000-$499,999",HOME,0,0,0,0,0,0,0,5,5,1,0,7.14142842854285
Unknown,42,Female,0,0,0,Unknown,CAMP,1,0,0,0,0,0,0,0,105,1,0,1.0
97883,42,Male,0,0,0,Unknown,Unknown,1,0,0,0,0,0,0,0,10,1,0,0.0
64755,38,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,500,500,1,0,4.123105625617661
80454,42,Female,0,0,0,Unknown,BUSN,0,1,0,0,0,0,0,0,12,1,0,1.0
58201,33,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
30019,42,Female,0,1,0,Unknown,Unknown,0,0,0,0,0,0,0,0,150,1,0,1.0
97846,42,Male,0,0,0,Unknown,Unknown,1,1,0,0,0,0,0,0,136,1,0,1.4142135623730951
84531,37,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
83716,89,Female,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,1,300,1,0,16.06237840420901
54976,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
10581,42,Female,0,0,0,Unknown,HOME,0,12,0,0,0,0,0,0,2050,1,1,22.135943621178654
25936,42,Male,0,0,0,Unknown,Unknown,0,1,0,0,0,0,0,0,200,1,0,0.0
60546,42,Male,1,0,1,Unknown,HOME,1,0,0,100,100,0,0,70,270,1,1,80.01249902359005
83101,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
6359,32,Female,1,0,1,Unknown,HOME,1,0,0,200,120,0,0,0,17971,1,1,1300.1634512629557
92173,42,Male,0,0,1,Unknown,HOME,0,6,120,0,0,0,0,0,404,1,1,41.31585652022719
33898,26,Female,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,35,1,0,2.0
13425,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,50,1,0,0.0
28509,42,Female,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,120,1,0,0.0
90265,42,Female,1,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,1195,1,0,5.196152422706632
714,60,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,65,1,0,4.0
10538,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,100,1,0,0.0
28098,42,Male,0,1,1,Unknown,HOME,1,0,0,0,0,0,0,0,50,1,0,1.0
43556,42,Male,0,0,0,Unknown,Unknown,0,0,1500,0,500,0,0,0,2000,1,1,517.9053967666296
64077,42,Male,0,0,0,Unknown,Unknown,0,3,0,0,0,0,0,0,35,1,0,1.0
50308,42,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0.0
97376,32,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
43752,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,150,150,1,0,1.0
19348,30,Male,1,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,5300,1,0,12.12435565298214
74471,31,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,2,1,0,1.4142135623730951
Unknown,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
90265,87,Female,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,1.0
90265,42,Female,0,0,0,Unknown,HOME,0,8,0,0,0,0,300,0,554,1,1,143.45033983926285
52803,42,Uknown,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,450,1,0,1.4142135623730951
90265,42,Male,0,1,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0.0
7762,39,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
29322,42,Male,0,0,0,Unknown,HOME,0,1,0,0,100,0,0,0,175,1,1,25.0
90265,42,Male,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
66946,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,65,1,0,0.0
92866,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,15,1,0,0.0
Unknown,42,Male,0,0,1,Unknown,HOME,0,8,0,0,0,0,130,0,3100,1,1,110.51696702316798
97841,65,Male,0,0,1,Unknown,HOME,0,5,0,5,0,63,0,0,68,1,0,12.649110640673518
56458,31,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,120,1,0,1.0
Unknown,42,Female,0,0,1,Unknown,HOME,0,1,0,0,0,0,36,0,100,1,0,11.789826122551595
29153,40,Male,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0,0,0.0
2894,42,Male,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,1,1,0,1.0
33433,52,Male,1,0,0,Unknown,HOME,0,5,0,0,0,0,25,0,25,1,0,8.426149773176359
Unknown,42,Male,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,1555,1,0,10.099504938362077
87022,29,Female,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0,0,0.0
58733,50,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
80454,42,Male,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
81131,42,Male,1,0,0,Unknown,HOME,1,5,1,0,0,0,150,0,151,1,0,2.23606797749979
51647,51,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
13796,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,40,1,0,0.0
Unknown,42,Female,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
90265,54,Male,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0,0,0.0
53810,20,Female,0,0,1,Unknown,HOME,1,20,0,52,0,0,0,0,565,1,1,55.991070716677676
90265,42,Female,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
8252,61,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
80642,46,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,5500,1,1,175.3909917869216
90265,42,Male,0,0,0,Unknown,HOME,0,8,0,0,0,0,0,0,295,1,0,5.385164807134504
76508,43,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,310,1,0,1.4142135623730951
90265,3,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
90265,42,Male,0,0,1,Unknown,Unknown,1,0,0,0,0,100,0,0,100,1,0,1.0
74860,42,Male,0,0,0,Unknown,HOME,0,7,0,0,0,0,50,0,50,1,0,1.0
27233,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
96157,42,Male,1,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,664,1,0,4.123105625617661
90265,50,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0.0
85392,89,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,750,1,1,36.796738985948195
90265,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
22639,42,Male,0,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
75957,66,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,2,1,0,1.7320508075688772
74637,42,Male,0,0,0,Unknown,HOME,0,9,480,0,0,0,0,100,2025,1,1,397.10074288522804
90265,21,Female,0,0,0,"$250,000-$499,999",HOME,1,0,0,0,0,0,0,0,15,1,0,1.4142135623730951
19374,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
Unknown,42,Male,0,0,0,Unknown,Unknown,0,1,0,1,0,0,0,0,10,1,0,1.0
83525,32,Male,0,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,1.0
99638,42,Unknown,0,1,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
55395,49,Male,1,0,0,"$250,000-$499,999",HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
90265,42,Female,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,40,1,0,0.0
32754,78,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,125,1,0,5.0
Unknown,34,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,600,1,0,7.483314773547883
90265,35,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
75951,42,Female,0,0,0,Unknown,HOME,0,1,1,0,0,0,0,0,120,1,0,1.0
Unknown,42,Female,1,0,1,Unknown,HOME,1,4,0,0,0,0,500,0,500,1,0,1.7320508075688772
63935,32,Male,1,0,1,"$1-$24,999",HOME,1,0,0,0,0,1,1,0,2,1,0,2.0
29010,42,Female,0,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
43420,42,Male,0,0,0,Unknown,HOME,0,2,0,0,0,0,0,0,450,1,0,1.0
Unknown,42,Female,0,0,0,Unknown,HOME,0,3,0,0,0,0,0,0,0,0,0,0.0
32465,20,Male,1,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,1365,1,0,20.29778313018444
22542,42,Unknown,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,125,1,0,1.0
